country,city,center,private_candidates_accepted
Ethiopia,Addis Ababa,Flipper International School,Yes
Ethiopia,Addis Ababa,Hellenic Greek International School,Yes
Ethiopia,Addis Ababa,International Maarif Schools of Ethiopia,Yes
Ethiopia,Addis Ababa,Little Steps International Kindergarten,No
Ethiopia,Addis Ababa,MALD School,Yes
Ethiopia,Addis Ababa,One Planet International School,Yes
Ethiopia,Addis Ababa,Pantokrator International Academy,No
Ethiopia,Addis Ababa,Reach International Center of Education,No
Ethiopia,Addis Ababa,Sandford International School,Yes
Ethiopia,Addis Ababa,Smart Minds School,Yes
Ethiopia,Addis Ababa,Sonnenland International Kindergarten,No
Ethiopia,Addis Ababa,Trillium International School,No
Ethiopia,Addis Ababa,Young Roots English International School,Yes
Ethiopia,Awassa,SOS Hermann Gmeiner School Awassa,Yes
Ethiopia,Bishoftu,Interlakes International School,No
Ethiopia,Hawassa,Bonafide School P.L.C,Yes
Ethiopia,Hawassa,Sankofa International School,Yes
Falkland Islands,Stanley,Falkland Islands Community School,Yes
Finland,Helsinki,Bumblebees Kindergarten Herttoniemi,No
Finland,Helsinki,Bumblebees Kindergarten Myllypuro,No
Finland,Helsinki,Bumblebees Kindergarten Pihlajamaki,No
Finland,Seinäjoki,Seinajoki Upper Secondary School,No
France,Aix-en-Provence,International Bilingual School of Provence,Yes
France,Annecy-le-Vieux,EBiHS,No
France,Bordeaux,EBiHS,No
France,Fuveau,Sainte Victoire International School,No
France,La Celle-Saint-Cloud,Lycee Corneille,No
France,La Rochelle,Fenelon Notre-Dame,No
France,Le Chesnay,Blanche de Castille,Yes
France,Lille,Ecole Jeannine Manuel Lille,No
France,Lille,Ensemble Scolaire Therese D'Avila,No
France,Lyon,International School of Lyon,Yes
France,Lyon,Lycee Multilingue De Lyon Ombrosa,No
France,Neuilly sur Seine,Institut Sainte-Marie De Neuilly,Yes
France,Nice,International School of Nice,No
France,Orsay,Ecole English Tree,No
France,Paris,Bilingual International School of Paris,No
France,Paris,College Sevigne,Yes
France,Paris,Ecole International Bilingue - Monceau College,Yes
France,Paris,Ecole Jeannine Manuel,No
France,Paris,Ecole Massillon,No
France,Paris,Ellipse Montessori Academy,Yes
France,Paris,Institut Notre Dame,Yes
France,Paris,Kingsworth International School,No
France,Paris,Rainbow School Paris,No
France,Pau,The International School of Bearn,Yes
France,Saint Germain en Laye,Ecole Bilingue Diderot,Yes
France,Saint-Germain-en-Laye,Ecole Suger,Yes
France,Sèvres,"English Section, Sections Internationales de Sevres",No
France,Sigoulès,Collège - Lycée - IFAAC Le Cluzeau,Yes
France,Toulouse,The International School of Toulouse,No
Gambia,Bakau,AL FURQAN LOWER BASIC SCHOOL,No
Gambia,Bakau,West African International School,Yes
Gambia,Banjul,Apple Tree International,No
Gambia,Banjul,Marina International School,Yes
Gambia,Banjul,ZENITH PREPARATORY SCHOOL,No
Gambia,Bijilo,SBEC International High School,Yes
Gambia,Bijilo,SBEC International Junior School,No
Gambia,Kanifing,ROSASTOU PRIMARY & JUNIOR SECONDARY SCH,No
Gambia,Kotu,British International School Gambia,Yes
Gambia,Serekunda,GLORY BAPTIST JUNIOR/SENIOR SECONDARYSC,No
Gambia,Serekunda,MAARIF INTERNAT'L SCHOOLS OF THE GAMBIA,No
Georgia,Tbilisi,British Georgian Academy,No
Georgia,Tbilisi,British International School of Tbilisi,Yes
Georgia,Tbilisi,Georgian-American High School,No
Georgia,Tbilisi,International Maarif Schools Georgia LLC,Yes
Georgia,Tbilisi,Projector School,Yes
Georgia,Tbilisi,UG School,Yes
Germany,Bad Aibling,Dietrich-Bonhoeffer-Bildungscampus,Yes
Germany,Bad Bentheim,Missionsgymnasium St Antonius,Yes
Germany,Bad Homburg vor der Höhe,accadis International School Bad Homburg,No
Germany,Berlin,Berlin British School gGmbH,No
Germany,Berlin,Berlin International School,No
Germany,Berlin,Berlin Metropolitan School,No
Germany,Berlin,Freie Schule Anne-Sophie Berlin,No
Germany,Berlin,Phorms Berlin Sud,No
Germany,Braunschweig,International Institute for Studies and Cooperation (IISC),Yes
Germany,Braunschweig,International School Braunschweig-Wolfsburg,No
Germany,Bremen,International School of Bremen,No
Germany,Cologne,Cologne International School,No
Germany,Cologne,"St. George´s, The British International School Cologne",No
Germany,Duisburg,St. George's The British International School - Düsseldorf Rhein-Ruhr,No
Germany,Essen,International School Ruhr,No
Germany,Frankfurt,ISF International School Frankfurt Rhein-Main,Yes
Germany,Frankfurt,Metropolitan School Frankfurt,No
Germany,Frankfurt,Phorms - Frankfurt,No
Germany,Gersthofen,International School Augsburg,No
Germany,Hamburg,Phorms Campus Hamburg,No
Germany,Landstuhl,International School Westpfalz GmbH,Yes
Germany,Leipzig,Leipzig International School,No
Germany,Marburg,Steinmuehle International Primary and Secondary School,No
Germany,Munich,Phorms School Munich,No
Germany,Munich,St George's The British International School Munich,No
Germany,Neuss,ISR International School on the Rhine,No
Germany,Neustadt an der Weinstraße,International School of Neustadt,Yes
Germany,Neu-Ulm,International School Of Ulm/Neu-Ulm Management GmbH,No
Germany,Nuremberg,Hans Sachs Gymnasium Nürnberg,Yes
Germany,Seeheim-Jugenheim,State International School Seeheim,No
Germany,Tutzing,Create Schools,Yes
Germany,Viernheim,Metropolitan International School,Yes
Ghana,Accra,AL-RAYAN INTERNATIONAL SCHOOL.,No
Ghana,Accra,ALSYD ACADEMY,No
Ghana,Accra,ARISTOLAND MONTESSORI CENTRE,Yes
Ghana,Accra,Beacon College International,No
Ghana,Accra,BEACON INTERNATIONAL SCHOOL,No
Ghana,Accra,BLOOMFIELDS SCHOOL,Yes
Ghana,Accra,Brainy Bairn School,Yes
Ghana,Accra,BRITISH COLUMBIA COLLEGE,Yes
Ghana,Accra,CITADEL VALLEY SCHOOL,Yes
Ghana,Accra,CITY LIGHTS INTERNATIONAL SCHOOL,No
Ghana,Accra,CJ SCHOOLS LIMITED,No
Ghana,Accra,Country International School,Yes
Ghana,Accra,CRADLE INTERNATIONAL SCHOOL,No
Ghana,Accra,DAYSPRING INTERNATIONAL ACADEMY,Yes
Ghana,Accra,DISON INTERNATIONAL SCHOOL,No
Ghana,Accra,DOMINION CHRISTIAN ACADEMY,Yes
Ghana,Accra,EAST AIRPORT INTERNATIONAL SCHOOL,No
Ghana,Accra,EAST BRIDGE INTERNATIONAL SCHOOL,No
Ghana,Accra,ECOLE BILINGUE RONSARD,No
Ghana,Accra,EXPLORERS SCHOOLS,No
Ghana,Accra,Faith Montessori School,Yes
Ghana,Accra,GERMAN INTERNATIONAL SCHOOL ACCRA,No
Ghana,Accra,Ghana International School,No
Ghana,Accra,GOLDEN FOUNDATION SCHOOL,No
Ghana,Accra,HARVEST CHRISTIAN ACADEMY,Yes
Ghana,Accra,IB ARTHUR SCHOOL,Yes
Ghana,Accra,International Community School,No
Ghana,Accra,INTERNATIONAL SCHOOL OF ACCRA,Yes
Ghana,Accra,Kay-Billie-Klaer International School,Yes
Ghana,Accra,KENT INTERNATIONAL SCHOOL,No
Ghana,Accra,KWAJEN INTERNATIONAL SCHOOL,Yes
Ghana,Accra,LONDON ROYALS SCHOOL,No
Ghana,Accra,MARYMOUNT INTERNATIONAL SCHOOL,Yes
Ghana,Accra,MERTON INTERNATIONAL PRIMARY & HIGH SCH,No
Ghana,Accra,METRO GOLD SCHOOLS,No
Ghana,Accra,MOTHERCARE SCHOOL,Yes
Ghana,Accra,MY FIRST STEP INTERNATIONAL SCHOOL,Yes
Ghana,Accra,NEW NATION SCHOOL,No
Ghana,Accra,North Hills International School,No
Ghana,Accra,NORTH LEGON LITTLE CAMPUS,No
Ghana,Accra,PASSION HOME BRITISH INTERNATIONALSCHOO,Yes
Ghana,Accra,PENFIELD SCHOOL,No
Ghana,Accra,PETITS SCHOLARS INTERNATIONAL,No
Ghana,Accra,PINNACLE HEIGHTS ACADEMY,Yes
Ghana,Accra,SAFARI INTERNATIONAL SCHOOL,No
Ghana,Accra,Shield International School,No
Ghana,Accra,SILICON VALLEY INTERNATIONAL SCHOOL,No
Ghana,Accra,ST. ADELAIDE INTERNATIONAL SCHOOLS,No
Ghana,Accra,STARTRITE CHRISTIAN COLLEGE,Yes
Ghana,Accra,TEMPLE CHRISTIAN INTERNATIONAL SCHOOL,No
Ghana,Accra,THE ALPHABET SCHOOL,Yes
Ghana,Accra,THE DUKER ACADEMY,Yes
Ghana,Accra,The Roman Ridge School,No
Ghana,Accra,VICTORIA GRAMMAR SCHOOL,No
Ghana,Accra,VINE CHRISTIAN HIGH SCHOOL (VCHS),No
Ghana,Accra,WEST END UNIVERSITY COLLEGE,No
Ghana,Accra,YVONNE NELSON INTERNATIONAL SCHOOL,No
Ghana,Achimota,VILAC INTERNATIONAL SCHOOL,No
Ghana,Adjinganor,SPRINGFORTH COMMUNITY SCHOOL,No
Ghana,Akosombo,AKOSOMBO INTERNATIONAL SCHOOL,No
Ghana,Akosombo,RIGHT TO DREAM ACADEMY,No
Ghana,Akuse,Legacy Girls College,No
Ghana,Amasaman,KOANS INTERNATIONAL SCHOOL,Yes
Ghana,Ashiyie,IVY INTERNATIONAL SCHOOL,No
Ghana,Ayikuma,GOLDEN SUNBEAM INTERNATIONAL,No
Ghana,Cantoment,MORNING STAR INTERNATIONAL HIGH SCHOOL,No
Ghana,Cantoment,SOUL CLINIC INTERNATIONAL SCHOOL,No
Ghana,Cantonments,Little Blessings International School,Yes
Ghana,Dansoman,ALPHA BETA CHRISTIAN COLLEGE,No
Ghana,Dawhenya,EARLY EXCELLENCE CHRISTIAN ACADEMY,No
Ghana,Dodowa,GHANA CHRISTIAN INT HIGH SCHOOL,No
Ghana,East Legon,BRAIN HILL INTERNATIONAL SCHOOL,No
Ghana,East Legon,BRITISH INTERNATIONAL SCHOOL GHANA,No
Ghana,East Legon,EDEN INTERNATIONAL SCHOOL,No
Ghana,East Legon,GALAXY INTERNATIONAL SCHOOL,No
Ghana,East Legon,LYCEE FRANCAIS D' ACCRA,No
Ghana,East Legon,MULTIKIDS INCLUSIVE ACADEMY,No
Ghana,Gbawe,DREAMERS ACADEMY,Yes
Ghana,Gomoa-Manso,Morgan International Community School,Yes
Ghana,"Kanda, Accra",HUDAI TIWNIKLI INTERNATIONAL SENIOR HIGH,Yes
Ghana,Kasoa,HAZELWAY INTERNATIONAL SCHOOL,No
Ghana,Kasoa,PECULIAR INTERNATIONAL SCHOOL,No
Ghana,Kenyasi No 1,International School of Ahafo,No
Ghana,Kumasi,ABOFRA WORLD SCHOOL,Yes
Ghana,Kumasi,ANGEL EDUCATIONAL COMPLEX,No
Ghana,Kumasi,Apple Valley International School,Yes
Ghana,Kumasi,ENAS HYBRID SCHOOL,No
Ghana,Kumasi,HEADLINES EDUCATIONAL CENTRE,No
Ghana,Kumasi,International Community School Kumasi,No
Ghana,Kumasi,THE HILLTOP SCHOOL,No
Ghana,Kumasi,THE RIDGE SCHOOL (1966),No
Ghana,Kwabenya,BRIGHT LILIES SCHOOL,Yes
Ghana,Lashibi,Angels' Ridge School,Yes
Ghana,Medie,SPRINGFIELD ROYAL MONTESSORI SCHOOL,No
Ghana,Ngleshie Amanfro,WEST END INTERNATIONAL SCHOOL,Yes
Ghana,Obuasi,AGA SCHOOL,No
Ghana,Old Ningo,SEASIDE INTERNATIONAL SCHOOL,No
Ghana,"Spintex, Tema",SELHURST EARLY START MONTESSORI SCH. LTD,No
Ghana,Sunyani,CASBE INTERNATIONAL SCHOOL,Yes
Ghana,Sunyani,SOLOMON BENNETT MEMORIAL SCHOOL,Yes
Ghana,Takoradi,ST PETER'S INTERNATIONAL SCHOOL LTD,No
Ghana,Takoradi,TAKORADI INTERNATIONAL SCHOOL,No
Ghana,Takoradi,THE SANCTUARY INTERNATIONAL SCHOOL,No
Ghana,Tamale,SAVANNAH INTERNATIONAL ACADEMY,Yes
Ghana,Tema,AFRICAN SCIENCE ACADEMY,No
Ghana,Tema,ANGELS SPECIALIST SCHOOL INTERNATIONAL,No
Ghana,Tema,ANJEF INTERNATIONAL SCHOOL,No
Ghana,Tema,AVES INTERNATIONAL ACADEMY,No
Ghana,Tema,BLOOMING BUDS INTERNATIONAL SCHOOL,Yes
Ghana,Tema,DATUS INTERNATIONAL COLLEGE,No
Ghana,Tema,DELHI PRIVATE SCHOOL INTERNATIONAL,No
Ghana,Tema,DODI INTERNATIONAL SCHOOL,Yes
Ghana,Tema,GAMS INTERNATIONAL SCHOOL,Yes
Ghana,Tema,GIU INTERNATIONAL CHRISTIAN ACADEMY,No
Ghana,Tema,Jifis International School,Yes
Ghana,Tema,MAYVILLE SCHOOL,Yes
Ghana,Tema,PIONEERS INTERNATIONAL ACADEMY,No
Ghana,Tema,THE OYSTER ACADEMY,No
Gibraltar,Gibraltar,Bayside Comprehensive School,No
Gibraltar,Gibraltar,Gibraltar College,Yes
Gibraltar,Gibraltar,Prior Park School,Yes
Gibraltar,Gibraltar,Westside School Gibraltar,No
Greece,Athens,Byron College,Yes
Greece,Athens,St Catherine's British School,No
Greece,Athens,St Lawrence College,No
Greece,Athens,The Campion School,No
